證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1516,川飛,4488,8,71908,16.05,16.05,16.00,16.05,+,0.1,16.05,10,16.20,1,23.60,
1517,利奇,117009,44,1171690,10.00,10.10,10.00,10.00,,0.0,10.00,72,10.05,28,30.30,
1519,華城,270000,82,5924350,22.15,22.15,21.85,21.95,-,0.15,21.95,17,22.00,4,0.00,
1521,大億,70872,58,4150298,58.50,58.70,58.40,58.60,+,0.2,58.50,9,58.60,1,12.26,
1522,堤維西,1230294,608,33122999,26.90,27.05,26.80,26.85,+,0.05,26.85,42,26.90,2,15.70,
1524,耿鼎,350459,111,3597719,10.30,10.30,10.20,10.30,,0.0,10.25,43,10.30,37,9.28,
1525,江申,55096,54,3428080,62.30,62.50,61.90,62.00,,0.0,62.00,10,62.30,1,10.78,
1526,日馳,1676776,"1,171",59365860,35.30,35.90,35.00,35.00,,0.0,35.00,38,35.10,3,13.73,
1527,鑽全,907584,676,46395074,51.60,52.00,50.80,50.90,-,0.7,50.90,30,51.10,2,8.76,
1528,恩德,492304,214,5161577,10.50,10.55,10.40,10.50,-,0.1,10.45,38,10.50,133,32.81,
1529,樂士,11480,23,166012,14.20,14.70,14.20,14.70,+,0.5,14.70,1,15.00,1,133.64,
1530,亞崴,58000,31,1783450,30.95,30.95,30.55,30.55,-,0.2,30.50,13,30.55,3,9.76,
1531,高林股,116067,43,1926415,16.60,16.60,16.55,16.60,,0.0,16.55,28,16.60,18,22.43,
1532,勤美,1156060,580,44613433,38.65,39.00,38.15,38.15,-,0.3,38.15,1,38.30,2,9.30,
1533,車王電,151398,95,5599286,36.70,37.20,36.70,37.15,+,0.45,37.10,2,37.15,4,17.20,
1535,中宇,49006,27,1585445,32.05,32.75,32.05,32.65,+,0.35,32.15,1,32.50,1,31.39,
1536,和大,1156012,705,139920941,121.50,122.00,120.00,120.50,-,1.0,120.50,9,121.00,18,24.20,
1537,廣隆,160006,160,25184948,158.00,158.50,157.00,157.00,-,1.0,156.50,12,158.00,4,12.56,
1538,正峰新,104641,101,554533,4.99,5.48,4.99,5.25,+,0.25,5.13,4,5.30,20,0.00,
1539,巨庭,154000,88,3648500,24.00,24.00,23.55,23.80,-,0.05,23.70,4,23.85,7,12.66,
1540,喬福,92169,71,1510048,16.50,16.50,16.30,16.30,-,0.1,16.30,17,16.35,3,13.93,
1541,錩泰,23390,25,685087,29.20,29.50,29.15,29.50,+,0.15,29.30,5,29.60,1,16.03,
