author,date,href,push,title
pipiboygay, 2/27,/bbs/movie/M.1551250962.A.5CD.html,49,[請益] 知道韓國電影到底是什麼原因才崛起的嗎?
nanachi, 2/27,/bbs/movie/M.1551252305.A.4AD.html,79,[討論] 關於名偵探皮卡丘
tontontonni, 2/27,/bbs/movie/M.1551253480.A.F59.html,11,[討論]魏斯安德森，是不是白人優越感？(雷)
klexwind, 2/27,/bbs/movie/M.1551254634.A.88F.html,43,Re: [討論] 日本電影已經被韓國電影壓下去了嗎？
CCY0927, 2/27,/bbs/movie/M.1551256172.A.55B.html,10,[新聞] 印度姊妹月事革命獲奧斯卡獎 冷嘲熱諷未停歇
hahaha0204, 2/27,/bbs/movie/M.1551258140.A.F2E.html,22,[討論] 彼得傑克森執導【他們不再老去】中文預告
ckshchen, 2/27,/bbs/movie/M.1551260187.A.324.html,16,[負雷] 酷寒殺手-非動作片  
hahaha0204, 2/27,/bbs/movie/M.1551264100.A.68B.html,36,[新聞] 別再亂傳了！凱文費吉：【黑寡婦】不是限
ktou545, 2/27,/bbs/movie/M.1551264677.A.2E3.html,"(None,)",[情報] iTunes特價報 霓裳魅影 / 原罪犯 / 阿波
nerevian, 2/27,/bbs/movie/M.1551265673.A.F34.html,9,Re: [討論] 日本電影已經被韓國電影壓下去了嗎？
lagnuachang, 2/27,/bbs/movie/M.1551265694.A.619.html,2,[請益] 波希米亞狂想曲電影中的問題(雷)
lalaflower, 2/27,/bbs/movie/M.1551266329.A.746.html,17,[請益] 潛艦獵殺令-現實生活真會如此嗎？
kkaicd1, 2/27,/bbs/movie/M.1551266993.A.4C4.html,"(None,)",[新聞] 英倫嗨歌助陣，吉田志織新片大秀舞技！
PttJoke, 2/27,/bbs/movie/M.1551268185.A.EA2.html,9,[好雷] 為副不仁-超越紙牌屋
lpbrother, 2/27,/bbs/movie/M.1551268753.A.79B.html,23,[新聞] 管控電影台萬年重播，NCC擬出手！5年以上
ultmisia, 2/27,/bbs/movie/M.1551269749.A.336.html,4,[討論] 不知波西米亞的成功能否讓布萊恩辛格回春
khpr1007, 2/27,/bbs/movie/M.1551270029.A.00C.html,2,[情報] Google Play電影特價報 戲夢巴黎 / 藍色
tiara, 2/27,/bbs/movie/M.1551230983.A.676.html,27,Re: [討論] 日本電影已經被韓國電影壓下去了嗎？
qpr322, 2/27,/bbs/movie/M.1551232260.A.537.html,11,[專欄] 聞天祥：91歲奧斯卡台上絢麗；台下黑白習題難解
-, 2/27,"(None,)","(None,)","(None,)"
guets, 2/27,/bbs/movie/M.1551239273.A.CDB.html,2,Re: [討論] 國產遊戲「還願」拍電影，有沒有搞頭？
changzon, 2/27,/bbs/movie/M.1551240759.A.5F1.html,14,Re: [討論] 日本電影已經被韓國電影壓下去了嗎？
lkk61432, 2/27,/bbs/movie/M.1551241471.A.38A.html,1,[普雷] 嬰魂不散-The hole in the ground
-, 2/27,"(None,)","(None,)","(None,)"
-, 2/27,"(None,)","(None,)","(None,)"
-, 2/27,"(None,)","(None,)","(None,)"
-, 2/27,"(None,)","(None,)","(None,)"
-, 2/27,"(None,)","(None,)","(None,)"
p2686290, 2/27,/bbs/movie/M.1551243089.A.D23.html,1,[  雷] go-go 布羅利
e22823768, 2/27,/bbs/movie/M.1551243136.A.5E4.html,15,[討論] 電影『貞子』特報！
a5980810, 2/27,/bbs/movie/M.1551244336.A.4EE.html,7,[選片]驚天佈局 嬰魂不散 寒單 我想有個家
dragon50119, 2/27,/bbs/movie/M.1551244496.A.BC2.html,23,[分享] Olivia Colman 可愛得獎感言集錦
