證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
2539,櫻花建,32000,18,894300,28.00,28.00,27.80,27.85,,0.0,27.80,7,28.00,7,14.21,
2540,愛山林,5014,6,135475,27.00,27.30,26.90,27.30,-,0.05,27.00,1,27.30,2,39.00,
2542,興富發,1964521,"1,284",94831381,48.30,48.40,48.05,48.35,+,0.15,48.35,12,48.40,31,11.09,
2543,皇昌,3002,5,23764,7.94,7.94,7.90,7.91,-,0.06,7.85,5,7.94,1,113.00,
2545,皇翔,183450,77,4946525,26.80,27.10,26.80,27.00,+,0.25,27.00,7,27.05,5,26.21,
2546,根基,89318,54,2286884,25.70,25.70,25.50,25.65,+,0.05,25.60,11,25.65,26,8.44,
2547,日勝生,10604044,"3,362",176713274,17.40,17.40,16.25,16.70,-,0.85,16.65,16,16.70,258,10.25,
2548,華固,595411,457,40213780,67.00,68.40,66.70,67.60,+,0.6,67.50,6,67.60,2,7.81,
2597,潤弘,20000,17,759950,38.10,38.10,37.90,38.00,-,0.1,37.90,6,38.00,6,14.13,
2601,益航,2221853,781,24404645,11.05,11.05,10.90,10.95,-,0.05,10.95,85,11.00,18,15.42,
2603,長榮,5465099,"1,911",70762164,13.05,13.05,12.85,12.95,-,0.1,12.90,474,12.95,3,18.50,
2605,新興,618100,267,9750993,15.90,15.90,15.70,15.80,,0.0,15.80,2,15.85,57,143.64,
2606,裕民,3273877,"1,557",116996951,35.50,36.00,35.50,35.70,+,0.35,35.65,7,35.70,8,18.89,
2607,榮運,2521733,656,35306291,14.00,14.10,13.90,14.10,,0.0,14.10,41,14.15,420,17.20,
2608,嘉里大榮,20240,24,802451,39.80,39.80,39.50,39.60,-,0.2,39.60,6,39.80,4,15.06,
2609,陽明,1205809,427,10415439,8.71,8.72,8.61,8.62,-,0.09,8.62,173,8.64,1,0.00,
2610,華航,6432393,"1,775",60030076,9.35,9.40,9.27,9.40,+,0.05,9.40,"1,056",9.41,22,11.75,
2611,志信,18151,16,133158,7.40,7.40,7.29,7.29,-,0.02,7.29,2,7.35,1,26.04,
2612,中航,427083,236,14926788,35.40,35.40,34.70,34.95,,0.0,34.90,19,34.95,13,17.48,
2613,中櫃,194100,61,2423044,12.55,12.55,12.35,12.50,-,0.05,12.50,12,12.55,29,16.67,
2614,東森,635260,262,9086910,14.40,14.40,14.25,14.30,-,0.05,14.30,2,14.35,95,1.84,
2615,萬海,523151,255,8770885,16.80,16.85,16.70,16.75,,0.0,16.75,39,16.80,8,16.42,
2616,山隆,95518,75,2866589,30.05,30.05,30.00,30.05,,0.0,30.00,3,30.05,45,18.44,
2617,台航,2977450,"1,264",60293704,20.25,20.40,20.10,20.35,+,0.15,20.30,4,20.35,4,10.33,
2618,長榮航,11107792,"2,662",161737952,14.75,14.75,14.45,14.50,-,0.25,14.50,161,14.55,188,7.32,
2630,亞航,5000,5,124000,24.85,24.85,24.70,24.80,-,0.1,24.70,1,24.80,1,0.00,
2633,台灣高鐵,12807555,"5,001",379358753,30.25,30.35,29.20,29.50,-,0.75,29.50,17,29.55,32,18.44,
2634,漢翔,521557,313,16172367,31.00,31.15,30.85,30.95,-,0.05,30.95,15,31.00,4,13.63,
2636,台驊投控,1235835,732,32912840,27.00,27.00,26.25,26.70,-,0.3,26.60,5,26.70,27,10.35,
2637,慧洋-KY,772505,327,23021022,29.85,30.00,29.60,29.80,-,0.1,29.75,11,29.80,1,15.44,
2642,宅配通,49009,31,1210184,24.80,24.80,24.55,24.70,-,0.05,24.70,1,24.75,2,43.33,
2701,萬企,542415,234,6957680,12.70,12.90,12.70,12.85,+,0.2,12.80,66,12.90,10,17.85,
2702,華園,142530,94,2417406,17.20,17.20,16.85,17.00,-,0.2,16.90,5,17.05,5,12.59,
2704,國賓,105302,53,2349734,22.35,22.40,22.25,22.35,,0.0,22.35,8,22.45,9,19.43,
2705,六福,247732,81,1551509,6.26,6.29,6.21,6.28,,0.0,6.28,1,6.29,6,0.00,
2706,第一店,116348,82,1676960,14.40,14.45,14.30,14.45,+,0.05,14.40,11,14.45,51,16.06,
2707,晶華,226598,167,30763328,135.50,136.50,135.50,136.50,+,1.0,136.00,9,136.50,69,12.71,
2712,遠雄來,8000,7,259950,32.95,33.00,32.00,32.50,-,0.5,31.90,1,32.50,1,0.00,
2722,夏都,2005,3,60451,29.75,30.55,29.75,30.55,X,0.0,29.75,6,30.50,5,89.85,
2723,美食-KY,383587,356,100966881,267.00,268.00,260.50,263.00,-,3.0,263.00,30,264.00,6,21.49,
2727,王品,184123,173,15250289,83.40,83.40,82.40,83.00,,0.0,82.90,4,83.00,6,16.27,
2731,雄獅,59250,53,5366050,90.00,90.90,90.00,90.70,+,0.9,90.70,1,90.80,7,13.56,
2739,寒舍,36004,20,1052017,29.20,29.40,29.00,29.30,,0.0,29.05,1,29.30,5,209.29,
2748,雲品,19000,15,1225700,64.50,64.80,64.40,64.60,+,0.1,64.30,1,64.60,1,20.84,
2801,彰銀,9790041,"2,579",181969024,18.80,18.80,18.50,18.60,-,0.2,18.55,111,18.60,509,13.78,
2809,京城銀,508193,330,15872359,31.40,31.40,31.10,31.15,-,0.2,31.15,42,31.20,16,6.88,
2812,台中銀,3107626,775,33379682,10.75,10.80,10.70,10.75,,0.0,10.70,"1,325",10.75,438,9.11,
2816,旺旺保,1051199,422,22122167,21.60,21.65,20.85,20.85,-,0.55,20.85,35,20.90,5,5.64,
2820,華票,239734,140,3358447,14.00,14.10,14.00,14.00,-,0.05,14.00,169,14.05,3,13.33,
2823,中壽,8384925,"2,288",255310743,30.65,30.65,30.25,30.45,-,0.3,30.40,131,30.45,23,8.88,
2832,台產,65000,33,1350546,20.90,20.90,20.75,20.80,-,0.05,20.75,13,20.80,3,9.67,
2834,臺企銀,25000499,"6,828",280759871,11.25,11.30,11.15,11.25,,0.0,11.20,"1,666",11.25,"2,028",11.84,
2836,高雄銀,385397,145,3629518,9.46,9.46,9.40,9.42,-,0.02,9.42,1,9.44,8,31.40,
2838,聯邦銀,964639,307,9956660,10.35,10.35,10.30,10.35,,0.0,10.30,724,10.35,229,9.76,
2838A,聯邦銀甲特,240187,91,12479624,51.90,52.00,51.90,52.00,,0.0,51.90,246,52.00,12,0.00,
2841,台開,1605424,453,14436832,9.05,9.05,8.93,8.97,-,0.06,8.97,2,8.98,11,21.36,
2845,遠東銀,3265406,708,34669563,10.70,10.70,10.55,10.65,-,0.05,10.60,281,10.65,512,11.70,
2849,安泰銀,88255,14,1339125,15.15,15.25,15.15,15.15,-,0.05,15.15,135,15.25,33,12.84,
2850,新產,476966,217,19061444,40.15,40.20,39.85,39.85,-,0.35,39.85,1,39.90,10,6.98,
2851,中再保,91449,60,1662421,18.30,18.30,18.10,18.15,-,0.1,18.15,1,18.20,22,7.17,
2852,第一保,161857,77,2518167,15.65,15.65,15.50,15.60,-,0.05,15.55,9,15.60,30,6.75,
2855,統一證,655432,160,9456221,14.40,14.55,14.30,14.35,-,0.05,14.30,244,14.35,9,7.84,
2867,三商壽,1357186,546,21427609,15.85,15.85,15.75,15.75,-,0.1,15.75,399,15.80,98,9.72,
2880,華南金,8742754,"3,460",160771239,18.50,18.55,18.35,18.35,-,0.2,18.35,"1,282",18.40,579,15.04,
2881,富邦金,16015158,"4,941",834346806,52.50,52.60,51.70,52.10,-,0.4,52.10,91,52.20,40,8.98,
2881A,富邦特,207538,38,13257468,63.80,64.00,63.80,64.00,+,0.2,63.80,120,64.00,119,0.00,
2881B,富邦金乙特,494231,44,30148891,61.00,61.10,61.00,61.10,+,0.1,61.00,50,61.10,81,0.00,
2882,國泰金,10351470,"4,268",543349108,52.60,52.80,52.20,52.30,-,0.6,52.30,69,52.40,564,11.15,
2882A,國泰特,72980,14,4597743,63.00,63.10,62.90,63.10,+,0.1,63.00,209,63.10,2,0.00,
2882B,國泰金乙特,286888,95,17472073,61.00,61.00,60.90,61.00,,0.0,60.90,56,61.00,255,0.00,
2883,開發金,35321309,"7,214",396906475,11.40,11.45,11.15,11.20,-,0.2,11.15,"4,602",11.20,368,11.43,
2884,玉山金,16669608,"5,762",373878706,22.50,22.55,22.35,22.45,-,0.15,22.45,"2,407",22.50,486,13.86,
2885,元大金,14766377,"3,267",236722266,16.10,16.15,15.95,16.10,,0.0,16.05,368,16.10,"1,438",9.15,
2886,兆豐金,22395887,"6,979",608957700,27.60,27.60,27.00,27.15,-,0.35,27.10,590,27.15,63,13.78,
2887,台新金,15349712,"4,923",226676256,14.85,14.85,14.70,14.75,-,0.1,14.75,676,14.80,401,11.17,
2887E,台新戊特,248468,30,13284289,53.40,53.50,53.40,53.50,+,0.1,53.40,52,53.50,2,0.00,
2888,新光金,62789869,"7,300",739675479,11.90,11.95,11.70,11.75,-,0.15,11.75,359,11.80,"2,617",5.06,
2889,國票金,1566008,556,16627155,10.65,10.70,10.60,10.60,-,0.05,10.60,438,10.65,453,11.65,
2890,永豐金,15844156,"3,546",175478529,11.15,11.20,11.00,11.10,-,0.05,11.05,"1,004",11.10,481,12.91,
2891,中信金,28895928,"8,357",652003230,22.90,22.95,22.40,22.60,-,0.35,22.55,157,22.60,307,11.30,
2891B,中信金乙特,12391,21,776671,62.60,62.70,62.60,62.70,+,0.1,62.60,340,62.70,11,0.00,
2892,第一金,16207511,"4,814",335133994,20.85,20.85,20.60,20.60,-,0.25,20.60,"2,805",20.65,636,16.35,
2897,王道銀行,1132851,222,9327343,8.25,8.26,8.22,8.22,-,0.03,8.22,28,8.24,3,23.49,
2901,欣欣,62450,23,1546736,24.80,24.90,24.70,24.90,+,0.25,24.55,5,24.85,1,55.33,
2903,遠百,921617,429,15707439,17.10,17.15,17.00,17.05,-,0.05,17.00,261,17.05,10,13.75,
2904,匯僑,19092,20,380944,19.95,20.00,19.95,19.95,,0.0,19.95,8,20.00,5,12.87,
2905,三商,117381,103,2811197,24.10,24.10,23.90,23.90,-,0.05,23.90,7,24.00,57,9.96,
